Skill,Count
DevOps,47
Test Automation,45
Amazon Web Services (AWS),41
Software Development,41
Kubernetes,38
Bash,26
Linux,26
Continuous Integration and Continuous Delivery (CI/CD),24
Jenkins,24
Computer Science,23
Git,20
Cloud Computing,19
Microsoft Azure,15
Python (Programming Language),14
Troubleshooting,14
Infrastructure as code (IaC),12
Scripting,11
Continuous Integration (CI),11
Docker Products,11
Powershell,9
Networking,9
Configuration Management,9
Google Cloud Platform (GCP),8
Ansible,7
OpenShift,7
Cloud Infrastructure,6
Firewalls,6
Linux System Administration,4
Solution Architecture,4
Architecture,4
Terraform,4
Java,3
System Administration,3
Site Reliability Engineering,3
VMware,3
Programming,3
Microservices,3
Attention to Detail,3
Vulnerability,3
Nexus,3
CI,2
Coaching & Mentoring,2
IT Infrastructure Design,2
Scrum,2
Computer Programming,2
Technical Requirements,2
Cybersecurity,2
Domain Name System (DNS),2
IT Operations,2
Perl,2
System Performance,2
IT Management,1
IT Service Management,1
Information Technology,1
Network Administration,1
Technical Support,1
Amazon EC2,1
LDAP,1
Persuasion,1
Relationship Building,1
Azure Infrastructure as a Service (IaaS),1
Compensation,1
Cyber-security,1
Events,1
Grafana,1
Learning,1
Microsoft Modern Workplace,1
Prometheus.io,1
Skill Development,1
Microsoft Visual Studio Code,1
Apache,1
Build Management,1
Build Tools,1
Continuous Delivery (CD),1
Control Systems,1
IPS,1
Development Tools,1
Performance Tuning,1
Mentoring,1
Debugging,1
Virtualization,1
Linux Server,1
Active Directory,1
PHP,1
Electronic Press Kit (EPK),1
Network Management Systems (NMS),1
Proxy Server,1
Back-End Web Development,1
Data Architecture,1
Demos,1
Design Documents,1
Emerging Technologies,1
Machine Learning,1
Presales,1
Tactical Implementations,1
Software Deployment,1
Root Cause,1
Cloud Development,1
Operating Systems,1
Business Process,1
Enterprise Architecture,1
Salesforce.com,1
Written Communication,1
Design Specifications,1
Software Architecture,1
System Architecture,1
Systems Design,1
Technology Evaluation,1
PostgreSQL,1
Problem Solving,1
RDBMS,1
Network Engineering,1
Virtual Private Network (VPN),1
Incident Management,1
Unix,1
Application Security,1
Penetration Testing,1
Security Information and Event Management (SIEM),1
Azure DevOps Services,1
TeamCity,1
Object-Oriented Programming (OOP),1
Embedded Systems,1
Capacity Planning,1
Programming Languages,1
Systems Management,1
Amazon EKS,1
Google Kubernetes Engine (GKE),1
Azure Data Lake,1
Azure Databricks,1
Azure DevOps Server,1
Cloud-Native Architecture,1
Data Engineering,1
PySpark,1
Puppet (Software),1
Zabbix,1
Bridging,1
Business Networking,1
Infrastructure Management,1
Strategic Thinking,1
Containerization,1
Resource Allocation,1
Service-Level Agreements (SLA),1
Application Development,1
Communication,1
English,1
Presentations,1
Bicep (Domain-Specific Language),1
Infrastructure,1
CentOS,1
Microsoft Endpoint Configuration Manager,1
Microsoft Intune,1
Patch Management,1
Red Hat Linux,1
